_id,barcode,category,categoryCode,cpg,name,topBrand,brandCode
601ac115be37ce2ead437551,511111019862,Baking,BAKING,Cogs,test brand @1612366101024,False,
601c5460be37ce2ead43755f,511111519928,Beverages,BEVERAGES,Cogs,Starbucks,False,STARBUCKS
601ac142be37ce2ead43755d,511111819905,Baking,BAKING,Cogs,test brand @1612366146176,False,TEST BRANDCODE @1612366146176
601ac142be37ce2ead43755a,511111519874,Baking,BAKING,Cogs,test brand @1612366146051,False,TEST BRANDCODE @1612366146051
601ac142be37ce2ead43755e,511111319917,Candy & Sweets,CANDY_AND_SWEETS,Cogs,test brand @1612366146827,False,TEST BRANDCODE @1612366146827
601ac142be37ce2ead43755b,511111719885,Baking,BAKING,Cogs,test brand @1612366146091,False,TEST BRANDCODE @1612366146091
601ac142be37ce2ead43755c,511111219897,Baking,BAKING,Cogs,test brand @1612366146133,False,TEST BRANDCODE @1612366146133
5cdad0f5166eb33eb7ce0faa,511111104810,Condiments & Sauces,,Cogs,J.L. Kraft,,J.L. KRAFT
5ab15636e4b0be0a89bb0b07,511111504412,Canned Goods & Soups,,Cogs,Campbell's Home Style,False,CAMPBELLS HOME STYLE
5c408e8bcd244a1fdb47aee7,511111504788,Baking,,Cogs,test,,TEST
5f4bf556be37ce0b4491554d,511111516354,Baking,BAKING,Cogs,test brand @1598813526777,,TEST BRANDCODE @1598813526777
57c08106e4b0718ff5fcb02c,511111102540,,,Cpgs,MorningStar,,
588ba07be4b02187f85cdadd,511111201076,Baking,,Cogs,Calumet,False,CALUMET
5d6413156d5f3b23d1bc790a,511111205012,Magazines,,Cogs,Entertainment Weekly,,511111205012
585a9611e4b03e62d1ce0e74,511111801801,Breakfast & Cereal,,Cogs,AUNT JEMIMA Syrup,False,AUNT JEMIMA SYRUP
57e5820ce4b0ac389136a311,511111202233,Beer Wine Spirits,,Cpgs,Molson Canadian,False,MOLSON
5fb6adb8be37ce522e165cb8,511111817376,Health & Wellness,HEALTHY_AND_WELLNESS,Cogs,LotriminÂ®,False,LOTRIMIN
5f358338be37ce443bf9d55a,511111515319,Baking,BAKING,Cogs,test brand @1597342520277,,TEST BRANDCODE @1597342520277
5fb28549be37ce522e165cb5,511111317364,Baking,BAKING,Cogs,test brand @1605535049181,False,
592486bfe410d61fcea3d139,511111300700,Beauty,,Cogs,ST. IVES,False,ST IVES
5c4699f387ff3577e203ea29,511111305125,Baby,,Cogs,Chris Image Test,,CHRISIMAGE
5da6071ea60b87376833e34d,511111005650,Health & Wellness,HEALTHY_AND_WELLNESS,Cogs,Alka-SeltzerÂ®,,ALKA SELTZER
57ebc011e4b0ac389136a335,511111802129,Condiments & Sauces,,Cogs,Jack Daniel's,False,JACK DANIEL'S BARBECUE
5332f5fee4b03c9a25efd0bd,511111303947,,,Cpgs,Bottled Starbucks,,
5332fa7ce4b03c9a25efd22e,511111802914,,,Cpgs,Full Throttle,,
5e9f18bfbe37ce3e45b6a77f,511111914549,Baking,BAKING,Cogs,PopUp Brand A,,
592486bee410d61fcea3d133,511111400769,Frozen,,Cogs,MAGNUM Ice Cream,False,MAGNUM Ice Cream
5d66d71fa3a018093ab34728,511111105329,Magazines,,Cogs,Elegant Homes Magazine,,511111105329
5f493e72be37ce64d0ae36c6,511111316114,Baking,BAKING,Cogs,test brand @1598635634882,,TEST BRANDCODE @1598635634882
5f4936ddbe37ce52f8314fd9,511111315957,Baking,BAKING,Cogs,test brand @1598633693011,,
57ebc2e7e4b0ac389136a34b,511111201915,Grocery,,Cogs,Taco Bell,False,TACO BELL
5fd2a0aebe37ce49eb72c0ee,511111518112,Baking,BAKING,Cogs,test brand @1607639214411,False,
