_id,dateScanned,barcode,brandCode,purchasedItemCount,totalSpent,userId
5ff1e1eb0a720f0523000575,2021-01-03 10:25:31,4011,,5.0,26.0,5ff1e1eacfcf6c399c274ae6
5ff1e1bb0a720f052300056b,2021-01-03 10:24:43,4011,,2.0,11.0,5ff1e194b6a9d73a3a9f1052
5ff1e1f10a720f052300057a,2021-01-03 10:25:37,,,1.0,10.0,5ff1e1f1cfcf6c399c274b0b
5ff1e1ee0a7214ada100056f,2021-01-03 10:25:34,4011,,4.0,28.0,5ff1e1eacfcf6c399c274ae6
5ff1e1d20a7214ada1000561,2021-01-03 10:25:06,4011,,2.0,1.0,5ff1e194b6a9d73a3a9f1052
5ff1e1e40a7214ada1000566,2021-01-03 10:25:24,4011,,1.0,3.25,5ff1e1e4cfcf6c399c274ac3
5ff1e1cd0a720f052300056f,2021-01-03 10:25:01,,MISSION,1.0,2.23,5ff1e194b6a9d73a3a9f1052
5ff1e1a40a720f0523000569,2021-01-03 10:24:20,046000832517,BRAND,1.0,10.0,5ff1e194b6a9d73a3a9f1052
5ff1e1ed0a7214ada100056e,2021-01-03 10:25:33,4011,,5.0,20.0,5ff1e1eacfcf6c399c274ae6
5ff1e1eb0a7214ada100056b,2021-01-03 10:25:31,4011,,3.0,20.0,5ff1e1eacfcf6c399c274ae6
5ff1e1c50a720f052300056c,2021-01-03 10:24:53,4011,,1.0,1.0,5ff1e194b6a9d73a3a9f1052
5ff1e1a10a720f0523000568,2021-01-03 10:24:17,013562300631,,5.0,50.0,5ff1e194b6a9d73a3a9f1052
5ff1e1b60a7214ada100055c,2021-01-03 10:24:38,034100573065,,10.0,290.0,5ff1e194b6a9d73a3a9f1052
5f9c74f70a7214ad07000037,2020-10-30 16:17:59,075925306254,,11.0,1.0,5f9c74f7c88c1415cbddb839
5ff1e1b20a7214ada100055a,2021-01-03 10:24:34,4011,,1.0,1.0,5ff1e194b6a9d73a3a9f1052
5ff1e1e90a7214ada1000569,2021-01-03 10:25:29,,,0.0,0.0,5ff1e1e9b6a9d73a3a9f10f6
5ff1e1df0a7214ada1000564,2021-01-03 10:25:19,4011,,2.0,11.0,5ff1e1dfcfcf6c399c274ab3
5ff1e1b40a7214ada100055b,2021-01-03 10:24:36,075925306254,,1.0,1.0,5ff1e1b4cfcf6c399c274a54
5ff1e1eb0a720f0523000576,2021-01-03 10:25:31,4011,,2.0,26.0,5ff1e1eacfcf6c399c274ae6
5ff1e1c80a720f052300056d,2021-01-03 10:24:56,4011,,2.0,1.0,5ff1e194b6a9d73a3a9f1052
5f9c74f90a7214ad07000038,2020-10-30 16:18:01,075925306254,,6.0,14.0,5f9c74e3f1937815bd2c1d73
5ff1e1960a720f0523000567,2021-01-03 10:24:06,4011,,1.0,1.0,5ff1e196cfcf6c399c274a38
5ff1e1ec0a7214ada100056c,2021-01-03 10:25:32,4011,,2.0,21.0,5ff1e1eacfcf6c399c274ae6
