_id,rewardsReceiptStatus,totalSpent,purchasedItemCount,userId
5ff1e1eb0a720f0523000575,FINISHED,26.0,5.0,5ff1e1eacfcf6c399c274ae6
5ff1e1bb0a720f052300056b,FINISHED,11.0,2.0,5ff1e194b6a9d73a3a9f1052
5ff1e1f10a720f052300057a,REJECTED,10.0,1.0,5ff1e1f1cfcf6c399c274b0b
5ff1e1ee0a7214ada100056f,FINISHED,28.0,4.0,5ff1e1eacfcf6c399c274ae6
5ff1e1d20a7214ada1000561,FINISHED,1.0,2.0,5ff1e194b6a9d73a3a9f1052
5ff1e1e40a7214ada1000566,FINISHED,3.25,1.0,5ff1e1e4cfcf6c399c274ac3
5ff1e1cd0a720f052300056f,FINISHED,2.23,1.0,5ff1e194b6a9d73a3a9f1052
5ff1e1a40a720f0523000569,FINISHED,10.0,1.0,5ff1e194b6a9d73a3a9f1052
5ff1e1ed0a7214ada100056e,FINISHED,20.0,5.0,5ff1e1eacfcf6c399c274ae6
5ff1e1eb0a7214ada100056b,FINISHED,20.0,3.0,5ff1e1eacfcf6c399c274ae6
5ff1e1c50a720f052300056c,FINISHED,1.0,1.0,5ff1e194b6a9d73a3a9f1052
5ff1e1a10a720f0523000568,FINISHED,50.0,5.0,5ff1e194b6a9d73a3a9f1052
5ff1e1b60a7214ada100055c,FLAGGED,290.0,10.0,5ff1e194b6a9d73a3a9f1052
5f9c74f70a7214ad07000037,REJECTED,1.0,11.0,5f9c74f7c88c1415cbddb839
5ff1e1b20a7214ada100055a,FINISHED,1.0,1.0,5ff1e194b6a9d73a3a9f1052
5ff1e1e90a7214ada1000569,FLAGGED,0.0,0.0,5ff1e1e9b6a9d73a3a9f10f6
5ff1e1df0a7214ada1000564,FINISHED,11.0,2.0,5ff1e1dfcfcf6c399c274ab3
5ff1e1b40a7214ada100055b,FLAGGED,1.0,1.0,5ff1e1b4cfcf6c399c274a54
5ff1e1eb0a720f0523000576,FINISHED,26.0,2.0,5ff1e1eacfcf6c399c274ae6
5ff1e1c80a720f052300056d,FINISHED,1.0,2.0,5ff1e194b6a9d73a3a9f1052
5f9c74f90a7214ad07000038,FINISHED,14.0,6.0,5f9c74e3f1937815bd2c1d73
5ff1e1960a720f0523000567,FINISHED,1.0,1.0,5ff1e196cfcf6c399c274a38
5ff1e1ec0a7214ada100056c,FINISHED,21.0,2.0,5ff1e1eacfcf6c399c274ae6
5ff1e1d70a720f0523000571,FINISHED,2.0,2.0,5ff1e194b6a9d73a3a9f1052
5ff1e1c60a7214ada100055e,FINISHED,1.0,2.0,5ff1e194b6a9d73a3a9f1052
5ff1e1ee0a7214ada1000570,FINISHED,27.0,5.0,5ff1e1eacfcf6c399c274ae6
5ff1e1cf0a720f0523000570,FINISHED,1.0,2.0,5ff1e194b6a9d73a3a9f1052
5ff1e1e10a720f0523000572,FINISHED,1.0,1.0,5ff1e194b6a9d73a3a9f1052
5ff1e1d40a7214ada1000562,REJECTED,3.0,3.0,5ff1e194b6a9d73a3a9f1052
5ff1e1ee0a720f0523000578,FINISHED,27.0,4.0,5ff1e1eacfcf6c399c274ae6
5ff371030a7214ada10005a5,FINISHED,10.0,10.0,5ff370c562fde912123a5e0e
5ff36dcc0a720f05230005b1,FINISHED,0.99,1.0,5ff36d0362fde912123a5535
5ff36c750a7214ada100058f,FINISHED,89.91,9.0,5ff36be7135e7011bcb856d3
5ff36d860a720f05230005a7,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff36d9f0a720f05230005ab,FINISHED,1.0,1.0,5ff36d0362fde912123a5535
5ff36adb0a720f0523000590,FINISHED,49.95,5.0,5ff36a3862fde912123a4460
5ff36da00a7214ada100059b,FINISHED,1.0,1.0,5ff36d0362fde912123a5535
5ff36dc40a7214ada100059f,FINISHED,89.91,9.0,5ff36d0362fde912123a5535
5ff3710b0a7214ada10005a7,FINISHED,89.91,9.0,5ff370c562fde912123a5e0e
5ff36d780a7214ada1000593,FINISHED,10.0,1.0,5ff36d78135e7011bcb86488
5ff371410a7214ada10005ba,FINISHED,1.0,1.0,5ff370c562fde912123a5e0e
5ff36c8b0a720f05230005a1,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff36c550a7214ada1000588,FINISHED,25.0,5.0,5ff36be7135e7011bcb856d3
5ff36acb0a720f052300058d,FINISHED,89.91,9.0,5ff36a3862fde912123a4460
5ff371450a7214ada10005bd,FINISHED,49.95,5.0,5ff370c562fde912123a5e0e
5ff36d9d0a720f05230005aa,FINISHED,25.0,5.0,5ff36d0362fde912123a5535
5ff36c590a7214ada1000589,FINISHED,25.0,5.0,5ff36be7135e7011bcb856d3
5ff29be20a7214ada1000571,FINISHED,1.0,1.0,5964eb07e4b03efd0c0f267b
5ff3416f0a7214ada1000576,FINISHED,28.57,1.0,5c3388caea88e15513a95069
5ff36c6d0a720f0523000597,FINISHED,18.2,4.0,5ff36be7135e7011bcb856d3
5ff36a830a7214ada100057b,FINISHED,1.0,1.0,5ff36a3862fde912123a4460
5ff36c570a720f0523000593,FINISHED,10.0,1.0,5ff36be7135e7011bcb856d3
5ff3713c0a7214ada10005b6,FINISHED,10.0,1.0,5ff370c562fde912123a5e0e
5ff371130a7214ada10005aa,FINISHED,0.99,1.0,5ff370c562fde912123a5e0e
5ff370f00a7214ada10005a3,FINISHED,49.95,5.0,5ff370c562fde912123a5e0e
5ff371240a7214ada10005b3,FINISHED,1.0,1.0,5ff37124135e7011bcb86bc3
5ff36c8d0a7214ada1000591,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff36ad40a7214ada1000585,FINISHED,0.99,1.0,5ff36a3862fde912123a4460
5ff36dcb0a7214ada10005a0,FINISHED,9.99,1.0,5ff36d0362fde912123a5535
5ff3416d0a7214ada1000575,FINISHED,28.57,1.0,5c3388caea88e15513a95069
5ff4ce430a7214ada10005d8,FINISHED,25.0,4.0,5ff4ce3dc3d63511e2a484dc
5ff4ce400a7214ada10005d5,FINISHED,27.0,5.0,5ff4ce3dc3d63511e2a484dc
5ff4a4ca0a7214ada10005d0,REJECTED,34.96,2.0,5fbc35711d967d1222cbfefc
5ff473de0a720f05230005bd,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff4ce8c0a7214ada10005e6,FINISHED,1.0,1.0,5ff4ce33c3d63511e2a484b6
5ff4ce3d0a7214ada10005d3,FINISHED,29.0,2.0,5ff4ce3dc3d63511e2a484dc
5ff473b40a7214ada10005c5,FINISHED,1.0,1.0,5ff47392c3d63511e2a47881
5ff473f30a720f05230005c0,FINISHED,10.0,1.0,5ff473f3c1e2d0121a9b2707
5ff4ce3a0a7214ada10005d2,FINISHED,21.0,2.0,5ff4ce3ac1e2d0121a9b2fb3
5ff473a90a7214ada10005c2,FINISHED,25.0,5.0,5ff47392c3d63511e2a47881
5ff473b10a7214ada10005c4,FINISHED,49.95,5.0,5ff47392c3d63511e2a47881
5ff475820a7214ada10005cf,SUBMITTED,,,5a43c08fe4b014fd6b6a0612
5ff4ce550a7214ada10005db,FINISHED,1.0,2.0,5ff4ce33c3d63511e2a484b6
5ff4ce430a720f05230005c9,FINISHED,29.0,1.0,5ff4ce3dc3d63511e2a484dc
5ff473d40a7214ada10005c9,FINISHED,9.99,1.0,5ff47392c3d63511e2a47881
5ff4ce690a7214ada10005e2,FLAGGED,13.0,5.0,5ff4ce68c1e2d0121a9b3022
5ff473f60a7214ada10005ce,FINISHED,49.95,5.0,5ff47392c3d63511e2a47881
5ff473cf0a7214ada10005c8,FINISHED,9.99,1.0,5ff47392c3d63511e2a47881
5fa5ad370a720f05ef000089,FINISHED,291.0,11.0,5fa5ad376a26f611e71ab5ef
5ff4ce650a7214ada10005e1,FLAGGED,1.0,1.0,5ff4ce65c3d63511e2a4853b
5ff473e40a7214ada10005cc,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff4ce3c0a720f05230005c4,FLAGGED,0.0,0.0,5ff4ce3cc1e2d0121a9b2fba
5ff473d00a720f05230005bb,FINISHED,0.99,1.0,5ff47392c3d63511e2a47881
5ff473b20a720f05230005b7,FINISHED,49.95,5.0,5ff47392c3d63511e2a47881
5ff473ad0a7214ada10005c3,FINISHED,1.0,1.0,5ff47392c3d63511e2a47881
5ff4ce640a7214ada10005e0,FINISHED,1.0,1.0,5ff4ce33c3d63511e2a484b6
5ff4ce3f0a720f05230005c6,FINISHED,29.0,2.0,5ff4ce3dc3d63511e2a484dc
5ff4ce4e0a7214ada10005da,FINISHED,1.0,2.0,5ff4ce33c3d63511e2a484b6
5ff473bc0a720f05230005b8,FINISHED,18.2,4.0,5ff47392c3d63511e2a47881
5ff4a80e0a720f05230005c2,FINISHED,34.96,2.0,5fbc35711d967d1222cbfefc
5ff5d1da0a7214ada10005f8,FINISHED,1.0,1.0,5ff5d15aeb7c7d12096d91a2
5ff5d1d40a7214ada10005f4,FINISHED,25.0,5.0,5ff5d15aeb7c7d12096d91a2
5ff5d1a00a7214ada10005ed,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff5ecb90a7214ada10005f9,SUBMITTED,,,5a43c08fe4b014fd6b6a0612
5ff5d1e20a720f05230005da,FINISHED,1.0,1.0,5ff5d15aeb7c7d12096d91a2
5ff5d1e10a720f05230005d9,FINISHED,49.95,5.0,5ff5d15aeb7c7d12096d91a2
5ff5d1fd0a720f05230005de,FINISHED,89.91,9.0,5ff5d15aeb7c7d12096d91a2
5ff5d1d80a7214ada10005f6,FINISHED,25.0,5.0,5ff5d15aeb7c7d12096d91a2
5ff5d19d0a7214ada10005ec,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff5d1f20a720f05230005db,FINISHED,18.2,4.0,5ff5d15aeb7c7d12096d91a2
5ff5d1dc0a720f05230005d6,FINISHED,1.0,1.0,5ff5d15aeb7c7d12096d91a2
5ff5d1dd0a720f05230005d7,FINISHED,49.95,5.0,5ff5d15aeb7c7d12096d91a2
5ff5d1a30a7214ada10005ef,FINISHED,1.0,1.0,5ff5d1a38f142f11dd1886ba
5ff5d20c0a720f05230005e3,FINISHED,4.66,4.0,5ff5d15aeb7c7d12096d91a2
5ff5d1fa0a720f05230005dd,FINISHED,4.66,4.0,5ff5d15aeb7c7d12096d91a2
5ff5d1d80a7214ada10005f7,FINISHED,25.0,5.0,5ff5d15aeb7c7d12096d91a2
5ff5d1f40a720f05230005dc,FINISHED,10.0,10.0,5ff5d15aeb7c7d12096d91a2
5ff5d2060a720f05230005e0,FINISHED,9.99,1.0,5ff5d15aeb7c7d12096d91a2
5ff618e30a7214ada10005fa,FINISHED,52.12,16.0,5ff616a68f142f11dd189163
5ff5d2060a720f05230005e1,FINISHED,0.99,1.0,5ff5d15aeb7c7d12096d91a2
5ff5d1df0a720f05230005d8,FINISHED,49.95,5.0,5ff5d15aeb7c7d12096d91a2
5ff5d1990a7214ada10005ea,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff5d1d00a7214ada10005f2,FINISHED,10.0,1.0,5ff5d1d08f142f11dd18884c
5ff5d1d60a7214ada10005f5,FINISHED,10.0,1.0,5ff5d15aeb7c7d12096d91a2
5ff5d1940a7214ada10005e9,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff5d2030a720f05230005df,FINISHED,9.99,1.0,5ff5d15aeb7c7d12096d91a2
5ff5d1a10a7214ada10005ee,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff5d19c0a7214ada10005eb,FINISHED,1.0,1.0,5ff5d19b8f142f11dd188696
5ff5d1cb0a7214ada10005f0,FINISHED,49.95,5.0,5ff5d15aeb7c7d12096d91a2
5ff5d20b0a720f05230005e2,FINISHED,9.99,1.0,5ff5d15aeb7c7d12096d91a2
5ff73be50a720f0523000608,FINISHED,29.0,6.0,5ff73be5eb7c7d31ca8a45a7
5ff7946f0a720f052300063c,FINISHED,23.0,3.0,5ff79464b3348b11c933738b
5ff726910a720f05230005f1,FINISHED,25.0,4.0,5ff7268eeb7c7d12096da2a9
5ff774200a7214ada1000638,FINISHED,6.18,2.0,5ff7741e04929111f6e90902
5ff74fd10a720f0523000619,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff73bdb0a720f0523000605,FINISHED,10.0,1.0,5ff73b90eb7c7d31ca8a452b
5ff794940a720f0523000640,FINISHED,23.0,3.0,5ff79464b3348b11c933738b
5ff794020a720f0523000635,FINISHED,1.0,1.0,5ff7930fb3348b11c93372a6
5ff73beb0a7214ada100061c,FINISHED,22.0,4.0,5ff73bea8f142f3276c3e84a
5ff794bf0a7214ada1000650,FLAGGED,1.0,1.0,5ff7930fb3348b11c93372a6
5ff74faf0a720f0523000613,FINISHED,18.2,4.0,5ff74f3db3348b11c93361d1
5ff7945a0a7214ada1000646,FINISHED,27.0,4.0,5ff79459b3348b11c933736d
5ff74ffe0a720f0523000621,FINISHED,49.95,5.0,5ff74f3db3348b11c93361d1
5ff726790a7214ada1000602,FINISHED,1.0,2.0,5ff7264e8f142f11dd189504
5ff750050a7214ada1000633,FINISHED,10.0,1.0,5ff75004b3348b11c9336bd6
5ff74ffb0a720f0523000620,FINISHED,1.0,1.0,5ff74f3db3348b11c93361d1
5ff74ff50a720f052300061e,FINISHED,1.0,1.0,5ff74f3db3348b11c93361d1
5ff794640a720f052300063b,FINISHED,21.0,2.0,5ff79464b3348b11c933738b
5ff726810a720f05230005ea,FINISHED,1.0,2.0,5ff7264e8f142f11dd189504
5ff73be10a7214ada1000619,FLAGGED,290.0,10.0,5ff73b90eb7c7d31ca8a452b
5ff73bae0a720f0523000600,FINISHED,1.0,2.0,5ff73b90eb7c7d31ca8a452b
5ff73be90a720f052300060a,FLAGGED,0.0,0.0,5ff73be9eb7c7d31ca8a45bc
5ff7265a0a7214ada10005fb,FINISHED,1.0,1.0,5ff7264e8f142f11dd189504
5ff7942e0a720f0523000637,FINISHED,1.0,2.0,5ff7930fb3348b11c93372a6
5ff794600a7214ada1000647,FLAGGED,0.0,0.0,5ff7946004929111f6e90ceb
5ff726a40a720f05230005fa,FLAGGED,13.0,5.0,5ff726a38f142f11dd1895dc
5ff794130a7214ada1000640,FINISHED,1.0,2.0,5ff7930fb3348b11c93372a6
5ff726640a720f05230005e6,FINISHED,50.0,5.0,5ff7264e8f142f11dd189504
5ff793dd0a720f0523000633,FLAGGED,12.0,4.0,5ff793dd04929111f6e90c69
5ff726860a720f05230005ec,SUBMITTED,,,5ff7264e8f142f11dd189504
5ff8da4e0a720f05c5000012,FINISHED,3.25,1.0,5ff8da4e04929111f6e91462
5ff873de0a720f0523000648,FINISHED,23.0,4.0,5ff873ddb3348b11c9337733
5ff8740c0a720f0523000659,FINISHED,10.0,1.0,5ff873d1b3348b11c9337716
5ff8da4c0a720f05c5000011,FLAGGED,1.0,1.0,5ff8da28b3348b11c9337ac6
5ff8da860a720f05c5000022,FINISHED,11.0,2.0,5ff8da28b3348b11c9337ac6
5ff8da7c0a7214adca000020,FINISHED,27.0,4.0,5ff8da7c04929111f6e914de
5ff8da650a7214adca00001e,FLAGGED,13.0,5.0,5ff8da65b3348b11c9337b29
5ff8da540a7214adca000017,FINISHED,1.0,2.0,5ff8da28b3348b11c9337ac6
5ff873f10a720f052300064f,FLAGGED,290.0,10.0,5ff873d1b3348b11c9337716
5ff874170a7214ada100065f,FINISHED,10.0,1.0,5ff873d1b3348b11c9337716
5ff8da680a720f05c5000019,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ff873e30a720f052300064c,FINISHED,28.0,1.0,5ff873ddb3348b11c9337733
5ff8cea10a7214adca00000b,FINISHED,1.0,2.0,5ff8ce8504929111f6e913cb
5ff874050a7214ada100065d,FINISHED,1.0,2.0,5ff873d1b3348b11c9337716
5ff8da620a7214adca00001d,FLAGGED,1.0,1.0,5ff8da62b3348b11c9337b21
5ff8da820a720f05c5000020,FINISHED,20.0,2.0,5ff8da7eb3348b11c9337b72
5ff8da390a7214adca000013,FINISHED,10.0,1.0,5ff8da28b3348b11c9337ac6
5ff873df0a7214ada1000652,FINISHED,24.0,2.0,5ff873ddb3348b11c9337733
5ff8da7f0a7214adca000022,FINISHED,26.0,4.0,5ff8da7eb3348b11c9337b72
5ff8da7f0a720f05c500001d,FINISHED,20.0,5.0,5ff8da7eb3348b11c9337b72
5ff8da800a720f05c500001e,FINISHED,28.0,2.0,5ff8da7eb3348b11c9337b72
5ff8c4fb0a7214adca000006,FINISHED,10.0,1.0,5ff8c4e8b3348b11c9337a11
5fa5b0ca0a720f05ef0000bf,FINISHED,14.0,6.0,5fa5b0b720dc5111dd86dcc1
5ff873f90a720f0523000651,FINISHED,1.0,1.0,5ff873d1b3348b11c9337716
5ff8c8880a7214adca000008,FINISHED,6.18,2.0,5ff8c88604929111f6e913b7
5ff8da570a720f05c5000015,REJECTED,0.0,0.0,5ff8da28b3348b11c9337ac6
5ff873d40a720f0523000644,FINISHED,23.0,8.0,5ff873d304929111f6e91096
5ff8c3a20a7214adca000005,FINISHED,10.0,1.0,5ff8c330b3348b11c9337a04
5ff8da550a720f05c5000014,FINISHED,1.0,2.0,5ff8da28b3348b11c9337ac6
5ff8da7d0a720f05c500001c,FLAGGED,0.0,0.0,5ff8da7db3348b11c9337b6a
5ffc98b70a720f05c500003d,FINISHED,3.09,1.0,5ffc98b604929111f6e923f5
5ffcb4d40a7214ad4e000017,FINISHED,10.0,1.0,5ffcb47d04929111f6e9256c
5ffc8ffc0a720f05c5000036,FINISHED,20.0,1.0,5ffc8ff9b3348b11c9338896
5ffc9d8c0a7214adca000049,FLAGGED,1.0,1.0,5ffc9d8cb3348b11c9338927
5ffc9da40a7214adca000050,FINISHED,21.0,5.0,5ffc9da0b3348b11c9338951
5ffc9daa0a7214adca000054,FINISHED,10.0,1.0,5ffc9d87b3348b11c9338920
5ffc8cc20a720f05c5000026,FINISHED,3.09,1.0,5ffc8cc104929111f6e922a3
5ffc9da10a720f05c5000043,FINISHED,21.0,4.0,5ffc9da0b3348b11c9338951
5ffcb4b90a720f051500000c,FINISHED,22.0,5.0,5ffcb4b9b3348b11c9338ae7
5ffca2f30a720f05c5000054,FINISHED,3.09,1.0,5ffca2f3b3348b11c9338a10
5ffcb4900a720f0515000002,FLAGGED,290.0,10.0,5ffcb47d04929111f6e9256c
5ffc8fa40a720f05c5000028,FINISHED,1.0,2.0,5ffc8f9704929111f6e922bf
5ffc92a20a7214adca000046,FINISHED,3.09,1.0,5ffc92a104929111f6e923cb
5ffc8fe80a720f05c5000031,FINISHED,1.0,1.0,54943462e4b07e684157a532
5ffc9da10a7214adca00004d,FINISHED,27.0,4.0,5ffc9da0b3348b11c9338951
5ffc9dc60a7214adca00005a,REJECTED,3.0,3.0,5ffc9d87b3348b11c9338920
5ffcb48d0a7214ad4e000002,FLAGGED,1.0,1.0,5ffcb48d04929111f6e92594
5ffc9da20a7214adca00004e,FINISHED,29.0,4.0,5ffc9da0b3348b11c9338951
5ffc8fa90a720f05c500002a,FINISHED,2.23,1.0,5ffc8f9704929111f6e922bf
5ffc9dd00a720f05c5000051,FLAGGED,1.0,1.0,5ffc9d87b3348b11c9338920
5ffcb4ad0a720f0515000009,FINISHED,1.0,2.0,5ffcb47d04929111f6e9256c
5ffcb4c10a7214ad4e000014,FINISHED,20.0,3.0,5ffcb4bc04929111f6e92608
5ffc9d9d0a720f05c5000042,FINISHED,26.0,2.0,5ffc9d9d04929111f6e9244f
5ffc9d9c0a7214adca00004b,REJECTED,10.0,1.0,5ffc9d9cb3348b11c933893f
5ffc8fa10a7214adca00002e,FINISHED,1.0,2.0,5ffc8f9704929111f6e922bf
5ffcb4c90a7214ad4e000016,FINISHED,10.0,1.0,5ffcb47d04929111f6e9256c
5ffc8cb40a720f05c5000025,FINISHED,3.09,1.0,5ffc8cb304929111f6e9229d
5ffcb4b80a7214ad4e00000d,REJECTED,10.0,1.0,5ffcb4b8b3348b11c9338ae1
5ffcb4a20a720f0515000006,FINISHED,1.0,2.0,5ffcb47d04929111f6e9256c
5ffc8f990a7214adca00002d,FINISHED,2.0,2.0,5ffc8f9704929111f6e922bf
5ffe1cbe0a7214ad28002843,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffce7db0a720f051500236e,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffce8570a7214ad4e003e6f,SUBMITTED,,,59c124bae4b0299e55b0f330
5ffce8310a7214ad4e003797,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffe19d90a7214ad28000e62,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffe1d030a720f05ac002c9e,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffce8250a7214ad4e0034de,SUBMITTED,,,59c124bae4b0299e55b0f330
5ffcefb00a720f0515005e8d,SUBMITTED,,,59c124bae4b0299e55b0f330
5ffce76e0a720f0515000b48,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffe23560a720f05ac006874,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffe22a20a720f05ac0061d7,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffe1dc20a7214ad28003180,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffce88b0a7214ad4e004b22,SUBMITTED,,,59c124bae4b0299e55b0f330
5ffce7a70a720f05150016b0,SUBMITTED,,,59c124bae4b0299e55b0f330
5ffe1aa90a7214ad280015e8,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffcef5a0a720f0515004f1a,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffe23d70a7214ad280068f6,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffe18b10a7214ad280003d1,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffcef630a720f05150050ae,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffce7ae0a7214ad4e001851,SUBMITTED,,,59c124bae4b0299e55b0f330
5ffce8150a7214ad4e0030a3,SUBMITTED,,,59c124bae4b0299e55b0f330
5ffe20290a720f05ac004a84,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffe1c520a7214ad2800245c,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffe1b630a7214ad28001c79,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffce8250a720f0515003510,SUBMITTED,,,59c124bae4b0299e55b0f330
5ffe1fa40a7214ad2800427f,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffce78c0a7214ad4e001045,SUBMITTED,,,59c124bae4b0299e55b0f330
5ffe23cf0a720f05ac006cc2,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffcef570a720f0515004e91,PENDING,28.57,,59c124bae4b0299e55b0f330
5ffce8000a7214ad4e002b57,SUBMITTED,,,59c124bae4b0299e55b0f330
5fff26c20a7214ad4c00000a,FINISHED,29.0,2.0,5fff26bfb3348b03eb45bb32
5fff0f630a7214ad28006e2d,FINISHED,0.99,1.0,5fff0f4fb3348b03eb45abb0
5fff56370a720f05f3000033,FINISHED,1.0,1.0,54943462e4b07e684157a532
5fff4ca00a7214ad4c000029,FINISHED,89.91,9.0,5fff4beedf9ace121f0c17ea
5fff26ee0a720f05f300001a,FINISHED,1.0,1.0,5fff2698b3348b03eb45bb10
5fff4c910a720f05f3000026,FINISHED,49.95,5.0,5fff4beedf9ace121f0c17ea
5ffe17e20a720f05ac0000e7,REJECTED,2.29,1.0,5ffe115404929101d0aaebb2
5fff561b0a720f05f300002e,FINISHED,10.0,1.0,5fff561abd4dff11dda8fa2b
5fff26fd0a720f05f300001d,FLAGGED,1.0,1.0,5fff2698b3348b03eb45bb10
5fff26fb0a7214ad4c000019,FINISHED,1.0,1.0,5fff2698b3348b03eb45bb10
5fff564a0a7214ad4c000030,FINISHED,1.0,1.0,5fff55dabd4dff11dda8f5f1
5fff4c8e0a720f05f3000025,FINISHED,1.0,1.0,5fff4beedf9ace121f0c17ea
5fff4c810a720f05f3000023,FINISHED,10.0,1.0,5fff4beedf9ace121f0c17ea
5fff4c8a0a7214ad4c000025,FINISHED,49.95,5.0,5fff4beedf9ace121f0c17ea
